true_text,pred_text
จะมีเฉพาะไตรมาสสี่,โปรดติดตามตอนต่อไป
ซึ่งจะมีตัวสีฟ้า ๆ,ก็คือ ที่นี่ ตัวสินะฟะ
อย่างที่เมื่อกี้ได้กล่าวไว้ว่า,มีแต่กล่าวไปว่า...
เฉพาะไตรมาส 4 ปีที่แล้ว,แล้วนี่ลองดูกัน
เรามีกําไรเป็นกําไรจากมูลค่ายุติธรรม,กำไร คือเรื่องว่าเป็นกำไรจากบุรุษคาติธิธรรม
เนื่องจากว่าเราเอาหุ้น,อาจารย์ วิทยุ ฮ.ศูนย์
ANI ไปปรับโครงสร้างทางบัญชี,ไปตับของสร้างทางบัญชี
เขาเลยไปคิดมูลค่าตรงนั้นเป็นกําไรครั้งเดียวแต่กําไรทางบัญชี,กำไรครั้งเดียว แต่กำไรทางบัญชี
ถึงบอกเราเลยไม่นับเลยมองว่า,เราก็เลยไม่นับเลย มองว่า...
ถ้านับเฉพาะไตรมาส,โปรดติดตามตอนต่อไป
สี่,ก็คือ ภาษาอังกฤษ ของคุณ
นี่กําไรที่เป็น core profit,ที่เป็นคอโปรฟิต
นะครับ จากผลประกอบการมัน,จากคนบอกออกาศมันลอย
157 และมีกําไรพิเศษ,ห้าศึกเจริญ ลำนี้กำลังไปเสร็จ
ราคาประมาณ270ล้านนะครับ แต่ให้โชว์ให้ดูว่าจะเห็นว่ากําไรของกลุ่มธุรกิจของ,แต่ให้โชว์ให้ดูว่าเก่งว่ากำไรของกลุ่มธุรกิจของโรงพยาบาล
เอ่อ ทริพเพิลไอโลจิสติกส์กํากับมหาชนเนี่ยจะค่อนข้างมั่นคงแล้วก็เติบโตต่อเนื่อง,ที่ไพรโรจิตศิกษ์กำกันมาชน อยากจะค่อนข้างง่อนขง แล้วก็เติบโตต่อเนื่อง
และถ้านับเอ่อเป็นภายในเฉพาะไตรมาสที่สามปีเนี้ยเราก็มองว่าของเราภายในเป็นเรียกว่าrecord new highอีกครั้งนึงนะครับ นี่ก็จะเป็น,และถ้านับเป็นภายในเฉพาะใต้มาที่ 3 ปีนี้เราก็มองว่าของเราภายในเป็นเรียกว่า Record New High อีกครั้งหนึ่งนะครับ
ภาพรวมนะครับ สุดท้ายก็จะเป็นดูภาพรวมของ,ความสุขที่สุดที่สุดในวันอาหาร
เรียกว่า ภาพฐานะทางการเงินของเรานะครับ ก็กลุ่มนี้,ก็กลุ่มด้วยอินติศาสตร์
อธิบายจากที่เรามีผลตอบแทนที่ดี,จากที่เรามีผลกำลังไปที่ดี
ต่อเนื่องนะครับ แล้วก็อย่างที่บอก ผลตอบแทนที่ต่อเนื่องก็ทําให้,และก็ อย่างที่บอก ประทับการที่ต่อเนื้อ คือทำให้...
ฐานะทางการเงินของเราแข็งแกร่งนะครับ เรามี,การการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการการ
เอ่อ,โอ้ววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววว
แอสเซทนะครับก็เป็นทั้งสิ้นนะครับ ณ สิ้นเอ่อสามสิบ,อันสิทธิ์นะครับ ตราบติดทั้งสินนะครับ หน้าสิน 30
เอ่อ กันยายนนะครับอยู่ที่สี่พันสี่ร้อย,ความหมายถึงความสุขที่สุด
เอ่อ สี่สิบเก้าล้านนะครับ ก็เป็นเงินสดแคชอยู่ที่636ล้านแล้วก็ส่วนใหญ่ก็จะเป็น,49 ล้านนะครับ ก็เป็นเงินสดแค่อยู่ที่ 636 ล้านแล้วก็ส่วนใหญ่ก็จะเป็น
การลงทุนนะครับก็เป็นส่วนที่เราไปลงทุนหลัก ๆ เฉพาะ,ก็เป็นส่วนที่เราไปลงทุนหลัก ๆ ก็เฉพาะ...
"ANI อย่างเดียวก็ 2,200 ล้าน",เป็นอินเดียวก็ ส่งไปส่งไว้แล้ว
ที่เหลือก็หลายตัว dgp,ตัวติดจิตพี่ เอ็ดนัก
sal นะครับ,น่ะครับ
ขณะที่ไปส่วนที่ liability ก็เห็นว่าก็,ที่ไปส่วนที่ลายวิทย์ ที่ก็เห็นว่าก็...
ap กับ ar ก็จะ,ก็จะ...
square กันนะครับ ส่วนที่เป็นหนี้นะครับเรามีส่วน,โปรดติดตามตอนต่อไป
การลงทุนถึง,อืม...
300 กว่าล้าน แต่มีหนี้เพียง,ก็ล้านตะบีนี่เป็น
674 ล้าน,โอ้ ก็จะดี ลาลา
แล้วส่วนใหญ่ก็จะเป็นหนี้ระยะยาว,ก็จะเป็นหนี้และย่ายยา
นะครับ,โปรดติดตามตอนต่อไป
นะครับ งั้นถ้าไปดูในเรื่อง,ก็ได้ครับ งั้นถ้าไปดูในเรื่อง...
เป็นเรื่องของอัตรานะครับ,เป็นเรื่องอัตวานะครับ
ผลตอบแทนจากการลงทุนนะครับ ก็,ตอบแทนจากการลงทุนนะครับ
roe นะครับ,อัลวินักครับ
ก็ 9 เดือน 32%,ก็เกิดอีกแล้ว ก็เกิดอีกแล้ว ก็เกิดอีกแล้ว แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้ แค่นี้
ก็เรียกว่า,อาหารต่างๆ อาหารต่างๆ อาหารต่างๆ
นักลงทุนก็ได้รับผลตอบแทนที่ว่าเกิน,ก็ได้นับผลตอบแทนที่เวลาเกิดสัญญาณ
30%,นักการณ์
นะครับ,ลองดูกันดีกว่า
เรามีอัตราที่เก็บเงินจากลูกค้า,เรามีอัพตัวที่เก็บเงินจากลูกค้าหลบมือ
รวมต้องจ่ายเงินให้กับคู่ค้าที่ค่อนข้าง,คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณคิดว่า คุณค
survey กันนะครับ,แก่งนักกับ...
เปิดเก็บเงินภายใน 81 วันแล้วก็,เก็บเงินไปใน 81 วัน
จ่ายเงินภายใน66วันก็แคสไซเคิลประมาณ15วันก็ถือว่าค่อนข้างไวในธุรกิจของโลจิสติกส์นะครับ,ประมาณ 10 วัน ก็ถือว่าค่อนข้างไหวในธุรกิจของโรงธิษฐินะครับ
ไปดูสภาพคล่องนะครับ current ratioหนึ่งจุดแปดเท่านะครับ,ไปดูสภาพคล่องนะครับ คอเวลโลเชโอ 1.8 เท่านะครับ
เอ่อD/E Ratioเรียกว่าศูนย์จุดสามนะครับต่ํามากก็บริษัทก็มีความศักยภาพที่จะขยายนะครับไป,ดีเรชโหละว่าสุธิศาสตร์นะครับ ทำมากก็มีความเสียภาพที่จะขยายนะครับไป
เรียกว่าสถาบันการให้ความสนับสนุนที่จะไปขยายกิจการได้พอสมควรนะครับ,ก็คือว่าสาบานงานให้กราบสนุนที่จะไปพยายามได้อีกพอสมควรนะครับ
IBD,บาย
นี่แค่ 0.2,ก็ค่อยๆ จะพูดออกมา อืม อืม อืม
เองนะครับ,มันค่าบลบ
แล้วความสามารถในการชําระหนี้ถึงประมาณ,ขอบสุภาพสำหรับมารยาทชาติ ชาติอินเดต นิวมารซิ
4 เท่านะครับ,ขอบคุณครับ
gp ก็ 22,ก็ที่ยิ่งสม
เท่านะครับ แต่ถ้าไปดู,อย่าให้ไปดูอีกครั้ง
Ebitda ก็ดี,อิบดาคฤดีคุมชาติ
กลุ่มที่ว่า,อิมเบอร์ อินิวิส อินิวิส
เนื่องจากว่าเรามีบรรทัดเดียวกับ,มีบันทับเกียรติอื่น ๆ
earning,โปรดติดตามตอนต่อไป
เยอะ เลยทําให้มันจะดูแปลก ๆ ว่า,เพราะฉะนั้น มันจะดูแปลก ๆ ว่า...
Ebitda มันเยอะกว่า gp,มันเยอะแต่ทีพี
Ebitda กลายเป็น,บิดาบแปบนึง
43 และ net profit ถึง 32,และเน็ตโบควิตติงสาธิปศาล
แล้วก็ไปดูที่,อิสลาม
กําไรต่อหุ้นเนี่ย,ทำไมต่อคุณเนี่ย
9 เดือนอยู่ที่ 60 สตางค์,อยู่ที่ 60 สะป้า
นะครับ,ค่ะ ต้องไปแล้ว
แต่เดิม คิด trailling ย้อนหลังเนี่ย,คิดแท้วินยอดหลังนี่มันจะ...
มันจะเป็นบาท 26,ก็คือ อาจารย์ ฮ.ศ. ศ. ศ. ศ. ศ.
สตางค์,โปรดติดตามตอนต่อไป
เพราะว่าเผอิญในไตรมาสที่สี่,โปรดติดตามตอนต่อไป
ปีที่แล้วเนี่ย,อืม...
มันมีกําไรพิเศษ,บาย บี๋ สี เสีย
ที่เมื่อกี้ได้แจ้งให้ทราบนะครับ,ก็เลย...
ก็เลยมีกําไร,ก็ได้กับใบอักษณะ
extra ตรงนั้นประมาณ 40,ก็ต้องรับมานี่ สิ สิ พระจากครายชา
สตางค์นะครับ,และคาบตะก็ได้
แต่กําไรของเราก็เรียกง่าย ๆ ว่า,ตรงแรงเราก็เรียกอย่างไรว่า
ง่าย ๆ ก็คือขนาดเรา,ได้กู...กูน่าเบลอ
เพิ่มจํานวนหุ้น มีการเพิ่มทุน,ตำนวนหุ่น ให้การเพิ่มถุนนะครับ
หุ้นปัจจุบันของเรามีถึง 807,มีถึง 807 ล้านคน
ล้านหุ้นนะครับ,ก็เป็นความสุขที่จะได้รับการการการการ
หุ้นเราก็ยัง,ละปะยัง
maintain อยู่นะครับ 9 เดือนก็ 60,ก็ 60 ชั่วโมง
สตางค์ หรือเฉลี่ยไตรมาสละ 20,และช่วยเหลี่ยนใต้มารณี
สตางค์นะครับ,แล้วครับ นี่ก็...
นี่ก็เป็นภาพสรุปรวมของผลประกอบการนะครับ,สรุปรวมของผลประกอบการนะครับ
ของทางกลุ่มทริพเพิลไอก็อย่างที่สรุปอีกครั้งนะครับ,กรุ่งที่ไปก็อย่างที่สุดอีกครั้งนะครับ
ก็เป็นเติบโตต่อเนื่องและเรียกว่าเป็น,เป็นตัวถอนเนื้อ และที่จะเป็นริก
record new high,ขอบคุณที่ดูให้
ของเรานะครับ,แล้ว บ๊ายบาย
ทีนี้,นี่
พอดีเห็นมีชําเลืองมีคําถามมา,คำถามมาด้วย
แล้วก็ตารางนี้ก็จะได้ให้เห็นภาพว่า,แล้วก็ตอนนี้คือจะได้เห็นภาพว่า...
มันเป็นภาพสรุปนะครับว่า,เป็นเป็นภาพสรุปนะครับว่า
ในส่วนธุรกิจของ,อืม อืม อืม อืม อืม
ที่เกี่ยวกับเรื่องภาพรวมธุรกิจที่เกี่ยวกับโลจิสติกส์เป็นยังไงครับ,ความสนใจที่เกี่ยวกับเรื่องภาพลดทุกกิจที่กับโรจิสติกเป็นยังไงครับ
ธุรกิจโลจิสติกส์ก็จะเกี่ยวพัน,ก็จะเกี่ยวกัน
2 3 เรื่องหลักๆ,ก็จะมีความสุขสำหรับเรื่องหลัก ๆ ต้องการ
แน่นอนก็คือเรื่องของอัตราค่าระวางทั้งทางเรือ,ก็คือเรื่องของอัตตาคลาวางทั้งเรือและกัน
และทางอากาศ,ขอบคุณที่ชอบครับ
นะครับก็จะเห็นว่าเอ่อเส้นกราฟที่เอ่อดูด้านบนนะครับก็จะเห็นได้ว่าเส้นสีแดงก็คือค่าระวางทางเรือจะเห็นว่าค่าวางทางเรือเนี่ยขึ้นไปพีคตอนประมาณเอ่อไตรมาสที่เอ่อเอ่อไตรมาสครึ่งปีแรกของ22นะครับว่าเริ่มหล่นลงมา,ก็เห็นว่าเส้นกราฟที่ดูด้านบนนะครับก็จะเห็นได้ว่าเส้นสีแดงก็คือข้าวระวังทางเรือเห็นว่าข้าวระวังทางเรือเนี่ยขึ้นปิดพิกตอนประมาณใต้มาที่...ใต้มาที่ครึ่งปีแรกของ 2020 นะครับว่าเริ่มโดดลงมา
เริ่มหล่นลงมาตั้งแต่,บับลงลงมาตั้งแต่
ปลายปีละ ปลายปีของ,ปลายปีของ...
22,โอ้ น่าจะได้
ไตรมาสที่สาม ก็เริ่มลงมานะครับ,อาจารย์ อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อิน
จะเห็นว่าลงมาปักหัวดิ่งเหวเนี่ยก็คือประมาณ,นี่ก็คือประมาณ ประมาณ
ต้นปีนี้เลยครับ,ก็มีนี้เลยครับ
จากต้นปีจนไปถึงไตรมาสที่สาม เนี่ย,ตอนปีจะมาถึงใต้มาที่ 3 เนี่ย
จะเห็นว่าค่าระวางทางเรือเนี่ย,ก็คิดว่าข้าระวังทางเลือนเนี่ยแปลก
ยังไม่มีแนวโน้มที่จะโตขึ้นนะครับ,ไม่มีเนียวนมที่จะโปรดขึ้นนะครับ
แต่ถามว่าสัญญาณของไตรมาสสี่,คุณพุทธจะถามว่าสัญญาณของใต้มาสีเป็นไงบ้าง
เป็นไงไหม,และก็มีความสุขที่จะให้คุณรู้สึกดี
เราเห็นสัญญาณที่,โอ้ย เนี่ย นี่...
รายได้ โทษทีค่าระวาง,โทษที ข้าละวางนะ
จะเริ่มจะปรับเพิ่มขึ้นมา,จะเริ่มจะปลับขึ้นมา
โดยเฉพาะในส่วนค่าระวางที่ไปยังทางด้านประเทศ,โดยเฉพาะในส่วนคลาวางที่ไปอย่างต่าง ๆ ประเทศทางเทียม
ทางด้านอเมริกา,อันอื่นอันบริกา
นะครับ จากสาเหตุที่ทางด้าน,ก็จากสายเหตุที่ทางด้าน
การค้านะครับ ก็ยอมรับว่า,ก็อย่างรอบว่า...
กลุ่มประเทศอเมริกาเป็นประเทศที่เขายังมีอัตราการขายการเจริญเติบโต,อืม ประเทศอเมริกาเป็นประเทศที่เขายังมีอัตตาขายเที่ยวอันตรายต่อไป
ที่ยังดี,ก็เที่ยว...
เทียบกับทั้งโลก,ก็จะมีความสุขที่จะสามารถกลับมา
เทียบโลกยอมรับว่า,อย่าบลง อย่าบลงกล้าว
ภาพรวมโลกยังไม่ค่อยได้ดีนะครับ แต่ว่าของอเมริกาก็ประเทศที่เขายังมีโอกาสที่จะเติบโตอยู่ ก็ทําให้ค่าระวางในส่วนของ,ก็ทำให้ค่าระวังในส่วนของ...
ที่จะเรียกว่าทางเอเชียไปทางอเมริการวมทั้งประเทศไทยเนี่ยก็เป็นแนวโน้มที่จะปรับตัวในทิศทางบวกแล้วก็ประกอบกับเนี่ยเราไปดูข้อมูลมาว่าคือทั้งเอ่ออเมริกากับจีนเนี่ยเขาก็เป็นคู่ค้าสัมพันธ์ระหว่างกันแต่ว่าเขาก็มีตั้งเรื่องกําแพงภาษีนะครับมี,ทางอเมริกากับทางจีน เค้าก็เป็นคู่ค่าสำคัญระหว่างกัน แต่ว่าเค้าก็มีตั้งเรื่องแผงประสีนะครับ มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผัส มีความสัมผั
ส่วนของทางอเมริกาก็มีประกาศว่าเขาจะชะลอเรื่องการเพิ่มอัตราภาษีกับสินค้าบางตัว,การเผิดประสิทธิ์ สินค้าปันตัวกับประสิทธิ์ สินค้าปันตัวกับประสิทธิ์
โดยเฉพาะสินค้าเวชภัณฑ์กับทางจีน ก็ทําให้ผู้ส่งออกจีนก็จะรีบนําส่งออกสินค้าไป ก็จะทําให้ภาพรวมค่าระวางทุกคนก็เริ่มกลับมา,เฉพาะสินค้าวิจักษ์ปัญหาทางจีน จะทำให้ผู้ส่งออกจีน จะรีบนำส่งออกสินค้าไป จะทำให้ท่าบรุมคลาวหลวง ทุกคนจะเริ่มกลับมา
จองระวางเพื่อจะรีบส่งในช่วงไตรมาสที่สี่มากขึ้น,ก็จะรีบส่งในช่วงใต้มันที่ 4 มากขึ้น
ก็ทําให้เหมือนสัญญาณว่าไตรมาสที่สี่นะครับก็จะเริ่มจะพีคขึ้นมา เราเริ่มเห็นสัญญาณตรงนี้ตั้งแต่เรียกว่าปลายไตรมาสที่สามนะ โดยเฉพาะเดือนเก้าเสถียรภาพที่มันไม่ชัดเจนนะครับ,ที่สุดที่จะทำให้เหมือนสัญญาณว่า ใต้มาที่ 4 นะครับก็จะเริ่มเจ็บพิกขึ้นมาแล้วเริ่มเห็นสัญญาณตรงนี้ตั้งแต่เรียกว่า ปลายใต้มาที่ 3 นะครับโดยเฉพาะเดียน 9 เสียงภาพที่มันโดยชัดเจนนะครับ
แล้วก็สอดคล้องไปดูตัวเลขเส้นสีน้ําเงินก็คือเป็นเรื่องของค่าระวางทางอากาศ,แล้วก็สอดคอมไปดูตัวเลขสันสินะเมืองก็คือเป็นเรื่องข้าวระวังทางอากาศ
ก็จะเป็นค่าระวางเช่นเดียวกัน ทางอากาศจะเห็นว่า,การเจ้นว่า
มันจะไม่ได้สวิงเยอะเหมือนทางเรือ เพราะว่าทางอากาศจะมีปัจจัยอันหนึ่ง ซึ่งมีอยู่ข้างล่างคือว่าเนื่องจาก,อาจจะไม่ได้สวิงเยอะเหมือนทางเรือเพราะว่าทางอาการจะมีปัจจัยอันเดิมซึ่งกำลังเป็นอาคุว่า
ทางอากาศมันต้องใช้เครื่องบินในการขนส่ง,มันต้องใช้เครื่องบินีอาศวนส่ง
ปัจจุบันเนี่ยจํานวนเครื่องบินที่มาบินเนี่ยเทียบกับปีก่อนหน้าที่จะเกิดวิกฤตการโควิดเนี่ยยังไม่กลับมาปกติ ขณะที่สายเรือเนี่ยจํานวนกองเรือของเขาเพิ่มขึ้นเพราะว่าวิกฤตการโควิดเขาไม่จําเป็นต้องมีลดหรือเพิ่มอะไรต่างต่างนะครับ งั้นเนี่ย,ปัจจุบันนี่จำนวนเครื่องบินที่เมืองบินเนี่ยเทียบกับปีก่อนหน้าที่จะเกิดถึงวิธีการโควิดเนี่ยยังไม่กลับมาปกติขนาดที่สายเรือเนี่ยจำนวนกองเรือของเขาเพิ่มขึ้นเพราะว่าวิธีการโควิดคงไม่ต้องเป็นต้องมีรถอยู่เพิ่มอะไรต่าง ๆ นะครับ
ในตัวของทางอากาศนะครับ,การต่อไป ต่อไป ต่อไป
เราก็เห็นสัญญาณเช่นเดียวกัน ได้เหตุผลเช่นเดียวกันนะครับ เราเห็นว่า,เราก็เห็นสัญญาณเช่นเดียวกัน ได้เหตุผลเช่นเดียวกันนะครับ และเห็นว่า...
ในตัวของค่าระวางนี้,อาจารย์นิยม
เริ่มจะมีสัญญาณที่จะ,กำจัดเห็นการพิเศษ
ขยับตัวขึ้นเช่นเดียวกันครับ ก็ในรูทโดยเฉพาะที่เป็น,เช่นเดียวคันครับ ต้องได้รู้ตัวเฉพาะที่เป็น...
ทางไกลคือไปทางอเมริกา,อาจารย์ อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อินดร. อ.อิน
แล้วก็อย่างที่บอกว่า,ก็อย่างที่บอกว่า
ในไตรมาสปกตินี่คือเรียกว่า,แต่ใจมากจากปกติเนี่ยคือเรียกว่า
การส่งออกนําเข้าหรือสัญญาณค่าระวางเนี่ยมันจะเริ่มดีในช่วงที่ว่าพีคซีซั่นตั้งแต่เอ่อคิวไปไตรมาสที่สาม,อาหารสมหองน้ำเท่าหรือผลงานข้าวระหว่างนี่มันจะเริ่มดีในช่วงเวลาพิกซีซันตั้งแต่คิวไป ตั้งแต่มาที่ 3 ตั้งแต่ 5
แต่ปีนี้ยอมรับว่าไตรมาสที่สามยังไม่สัญญาณพีค แต่ว่าตั้งแต่เดือนเก้าเราเริ่มเห็นสัญญาณมันเริ่มปรับขึ้นละ,แต่ปีนี้อำราธิกษ์ไปมันที่สหายังไม่สัญญาณกิจแต่ว่าตั้งแต่เดือนเก้าเราเริ่มเห็นสัญญาณมันเริ่มตกขึ้นแล้ว
ก็ลือว่าการส่งออกช่วงพีคอาจจะขยับตัวไปเป็นประมาณไตรมาสสี่,การส่งออกช่วงปีอาจจะขยับตัวออกไปเป็นประมาณใต้มาสี
งั้นไตรมาสสี่ปีเนี้ยนะครับเราก็คาดว่าทั้งค่าระวาง,แต่มาสตรีปีนี้นะครับ เราคัดว่าทั้งท่าระหว่าง
มันน่าจะสัญญาณโตขึ้นทั้งทางเรือและทางอากาศ,โปรดติดตามตอนต่อไป
แต่คงไม่โตขึ้นจากปีก่อนหน้านะครับ แต่เรามองว่าสัญญาณเป็นแนว,คงไม่โตขึ้นแบบ อือ จากปีก่อนหน้านะครับ แต่เรามองวัฒนญาณเป็นแนว
จะเติบโตขึ้นแน่ ๆ แล้วก็โดยเฉพาะทางบริการ,และเฉพาะทางเวลาเจอศาลาที่จะโดดขึ้นแน่ แน่ ๆ
จะสูงขึ้นกว่าเทรดอื่นนะครับ,กว่าเทศอื่นนะครับ
แล้วไปดูถัดมานะครับ,ไปดูต่อตามมานะครับ
จากที่สัญญาณค่าระวางสูงขึ้นนะครับ ก็ดูในส่วนของตัวเราเอง ถ้าประเทศไทยนี่เราต้องให้บริการก็คือ,ที่สัญญาณครั้งล่างสุดขึ้นนะครับ ก็ดูในส่วนของตัวเราเอง ถ้าประเทศไทยเนี่ย เราต้องให้บริการก็คือ
ผู้ส่งออกนําเข้า 100 ตัวเลขของการส่งออก จะเห็นว่าตัวเลขส่งออกของเรานี่,กำลังจะส่งออก เดี๋ยวตัวเลขส่งออก
ของเราทั้ง 3 ไตรมาส,ตั้ง 3 ตัวอีกมาก
ถ้าเทียบกับปีที่แล้ว,ก็พีแล้วนะ ติดตามตอนต่อไป
ติดลบตลอดเลยครับ ไตรมาสหนึ่ง,ไฟมาร์ด 1 เอาลบไป
ลบ4.5% ไตรมาสสอง ลบ 6%,อาจารย์ อินิสัน อัลลัน อ.อินิสัน อ.อินิสัน อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.อ.
แต่ไตรมาสสาม จะเห็นว่าตัวอัตราลบมันบางมากแล้ว,แกะใจมาก สาม เห็นว่าตัวอตารกมันป่ามมากแล้ว
พอดูไตรมาส,ม.ค
สี่ เราก็ได้ดูไตรมาสสี่ ปีที่แล้ว ไตรมาสสี่,แล้วก็ได้ดูใต้มาสิบี อ่ะ ไปมาสิละ
ปีที่แล้วคือช่วงที่,ก็คือ จรวดพี่
ค่าระวางตกต่ํา แล้วก็,ก็วางตกตามแล้วก็...
ยอดส่งออกนําเข้าเรา,ของออนุญาต
ลดเป็นประวัติการณ์ต่ํา,ก็ดอกเป็นวัติการทำเก็บ
7 หมื่นล้านบาท,บาท
อยู่ที่ 60000,"อันตรายที่ 60,000"
65000,อืม...
ล้านเหรียญสหรัฐนะ โทษทีนะ,อันเลียนสารรัฐทดทิน
